Year,Free to Play,Multiplayer,Strategy,Action,Difficult,Co-op,Fantasy,RPG,Shooter,First-Person,Open World,Adventure,Third Person,Violent,Funny,Comedy,Survival,Sci-fi,Singleplayer,Indie,Casual,Atmospheric,Great Soundtrack,Horror,2D,Pixel Graphics,Exploration,Platformer,Simulation,2D Platformer,Family Friendly,Relaxing,3D,Colorful,Story Rich,Cute,Point & Click,Mystery,Puzzle,Female Protagonist,Action-Adventure,Arcade,Retro,Stylized,Anime,Top-Down,Minimalist,Visual Novel
1997,0,150000,0,7650000,7500000,0,0,0,7500000,0,0,0,0,0,0,7500000,0,0,150000,150000,0,7500000,150000,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,150000,0,0,7500000,0,0
1998,0,15000000,0,15000000,15000000,0,0,0,15000000,15000000,0,15000000,0,0,0,0,0,15000000,15000000,0,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0,15000000,0,15000000,0,0,0,0,0
1999,0,7500000,0,15750000,0,15000000,750000,0,15000000,15000000,0,8250000,750000,7500000,7500000,0,0,7500000,8250000,0,0,8250000,8250000,750000,0,0,0,0,0,0,0,0,0,0,8250000,0,0,0,8250000,0,750000,0,8250000,0,0,0,0,0
2000,0,22500000,15000000,22500000,0,0,0,0,22500000,22500000,0,0,0,0,0,0,15000000,7500000,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,7500000,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,0
2001,0,7500000,150000,16500000,8250000,7500000,900000,900000,15750000,15000000,750000,9000000,1500000,0,0,0,0,15000000,9150000,150000,0,9000000,9000000,0,0,0,0,0,0,0,0,0,0,0,9150000,0,0,0,7500000,0,0,0,15750000,0,0,0,0,0
2002,0,3500000,0,3500000,3500000,0,0,0,3500000,0,3500000,3500000,3500000,3500000,0,0,0,0,3500000,0,0,3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,7500000,75000,7650000,7500000,7500000,75000,75000,7650000,7500000,0,0,0,0,0,0,0,0,7500000,225000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,0
2004,0,45250000,22500000,45250000,15000000,15750000,0,0,45250000,45250000,7500000,29500000,0,0,15000000,0,22500000,22750000,45250000,0,0,45250000,22750000,7000000,0,0,0,0,22500000,0,0,0,0,0,7000000,0,0,0,3500000,0,0,0,0,0,0,0,0,0
2005,35000000,35785000,500000,36960000,750000,750000,1500000,1925000,35000000,35000000,1100000,36850000,750000,0,0,0,0,35075000,36960000,110000,0,35825000,750000,0,0,75000,350000,0,0,0,0,0,75000,75000,35825000,0,0,0,0,0,0,75000,75000,75000,0,0,0,0
2006,0,62510000,13350000,68710000,2625000,45450000,1800000,3875000,57050000,58400000,1250000,60500000,3800000,1650000,41200000,40500000,1500000,14475000,66010000,39355000,8985000,24000000,13100000,8900000,1925000,750000,5825000,3575000,46205000,75000,700000,350000,3610000,700000,18825000,700000,350000,1500000,5080000,150000,3500000,925000,425000,1500000,0,350000,0,0
2007,75350000,104710000,21530000,148250000,12250000,91050000,6260000,12295000,112500000,124850000,6500000,43270000,11575000,4650000,92375000,93205000,1850000,44210000,76010000,1110000,2240000,54500000,35720000,21425000,3245000,1100000,1450000,16600000,9785000,0,700000,0,10000,0,42570000,0,2330000,150000,28000000,19400000,1850000,1425000,11945000,350000,0,500000,0,0
2008,6650000,49600000,18760000,69805000,18700000,21225000,17495000,12115000,36995000,25925000,43425000,62715000,28325000,8100000,27970000,20000000,12950000,22395000,78460000,15415000,14335000,55250000,41130000,13450000,11345000,750000,12775000,11200000,21245000,0,6725000,1850000,1125000,5075000,31720000,5975000,730000,185000,13895000,3920000,3775000,7470000,10720000,75000,150000,2400000,0,0
2009,1210000,101385000,49040000,129095000,13260000,80270000,26985000,35430000,78870000,78495000,34550000,110015000,38665000,1960000,19105000,23340000,48500000,39715000,145355000,20510000,16950000,60235000,73130000,45585000,15285000,2375000,20725000,12060000,13355000,1575000,8055000,1155000,460000,5385000,40975000,5660000,5930000,1495000,24395000,18005000,6285000,4645000,6010000,5145000,1135000,4425000,385000,115000
